reporter,partner,TIME_PERIOD,OBS_VALUE
HU,US,1999-05,0.0
HU,AT,1999-06,0.0
HU,BE,1999-06,0.0
HU,BG,1999-06,0.0
HU,BR,1999-06,0.0
HU,CA,1999-06,0.0
HU,CH,1999-06,0.0
HU,CN,1999-06,0.0
HU,CY,1999-06,0.0
HU,CZ,1999-06,0.0
HU,DE,1999-06,0.0
HU,DK,1999-06,0.0
HU,EE,1999-06,0.0
HU,ES,1999-06,0.0
HU,FI,1999-06,0.0
HU,FR,1999-06,0.0
HU,GR,1999-06,0.0
HU,HK,1999-06,0.0
HU,HR,1999-06,0.0
HU,HU,1999-06,0.0
HU,IE,1999-06,0.0
HU,IN,1999-06,0.0
HU,IT,1999-06,0.0
HU,JP,1999-06,0.0
HU,LT,1999-06,0.0
HU,LU,1999-06,0.0
HU,LV,1999-06,0.0
HU,MT,1999-06,0.0
HU,NL,1999-06,0.0
HU,PL,1999-06,0.0
HU,PT,1999-06,0.0
HU,RO,1999-06,0.0
HU,RU,1999-06,0.0
HU,SE,1999-06,0.0
HU,SI,1999-06,0.0
HU,SK,1999-06,0.0
HU,UK,1999-06,0.0
HU,US,1999-06,0.0
HU,AT,1999-07,0.0
HU,BE,1999-07,0.0
HU,BG,1999-07,0.0
HU,BR,1999-07,0.0
HU,CA,1999-07,0.0
HU,CH,1999-07,0.0
HU,CN,1999-07,0.0
HU,CY,1999-07,0.0
HU,CZ,1999-07,0.0
HU,DE,1999-07,0.0
HU,DK,1999-07,0.0
HU,EE,1999-07,0.0
HU,ES,1999-07,0.0
HU,FI,1999-07,0.0
HU,FR,1999-07,0.0
HU,GR,1999-07,0.0
HU,HK,1999-07,0.0
HU,HR,1999-07,0.0
HU,HU,1999-07,0.0
HU,IE,1999-07,0.0
HU,IN,1999-07,0.0
HU,IT,1999-07,0.0
HU,JP,1999-07,0.0
HU,LT,1999-07,0.0
HU,LU,1999-07,0.0
HU,LV,1999-07,0.0
HU,MT,1999-07,0.0
HU,NL,1999-07,0.0
HU,PL,1999-07,0.0
HU,PT,1999-07,0.0
HU,RO,1999-07,0.0
HU,RU,1999-07,0.0
HU,SE,1999-07,0.0
HU,SI,1999-07,0.0
HU,SK,1999-07,0.0
HU,UK,1999-07,0.0
HU,US,1999-07,0.0
HU,AT,1999-08,0.0
HU,BE,1999-08,0.0
HU,BG,1999-08,0.0
HU,BR,1999-08,0.0
HU,CA,1999-08,0.0
HU,CH,1999-08,0.0
HU,CN,1999-08,0.0
HU,CY,1999-08,0.0
HU,CZ,1999-08,0.0
HU,DE,1999-08,0.0
HU,DK,1999-08,0.0
HU,EE,1999-08,0.0
HU,ES,1999-08,0.0
HU,FI,1999-08,0.0
HU,FR,1999-08,0.0
HU,GR,1999-08,0.0
HU,HK,1999-08,0.0
HU,HR,1999-08,0.0
HU,HU,1999-08,0.0
HU,IE,1999-08,0.0
HU,IN,1999-08,0.0
HU,IT,1999-08,0.0
HU,JP,1999-08,0.0
HU,LT,1999-08,0.0
HU,LU,1999-08,0.0
HU,LV,1999-08,0.0
HU,MT,1999-08,0.0
HU,NL,1999-08,0.0
HU,PL,1999-08,0.0
HU,PT,1999-08,0.0
HU,RO,1999-08,0.0
HU,RU,1999-08,0.0
HU,SE,1999-08,0.0
HU,SI,1999-08,0.0
HU,SK,1999-08,0.0
HU,UK,1999-08,0.0
HU,US,1999-08,0.0
HU,AT,1999-09,0.0
HU,BE,1999-09,0.0
HU,BG,1999-09,0.0
HU,BR,1999-09,0.0
HU,CA,1999-09,0.0
HU,CH,1999-09,0.0
HU,CN,1999-09,0.0
HU,CY,1999-09,0.0
HU,CZ,1999-09,0.0
HU,DE,1999-09,0.0
HU,DK,1999-09,0.0
HU,EE,1999-09,0.0
HU,ES,1999-09,0.0
HU,FI,1999-09,0.0
HU,FR,1999-09,0.0
HU,GR,1999-09,0.0
HU,HK,1999-09,0.0
HU,HR,1999-09,0.0
HU,HU,1999-09,0.0
HU,IE,1999-09,0.0
HU,IN,1999-09,0.0
HU,IT,1999-09,0.0
HU,JP,1999-09,0.0
HU,LT,1999-09,0.0
HU,LU,1999-09,0.0
HU,LV,1999-09,0.0
HU,MT,1999-09,0.0
HU,NL,1999-09,0.0
HU,PL,1999-09,0.0
HU,PT,1999-09,0.0
HU,RO,1999-09,0.0
HU,RU,1999-09,0.0
HU,SE,1999-09,0.0
HU,SI,1999-09,0.0
HU,SK,1999-09,0.0
HU,UK,1999-09,0.0
HU,US,1999-09,0.0
HU,AT,1999-10,0.0
HU,BE,1999-10,0.0
HU,BG,1999-10,0.0
HU,BR,1999-10,0.0
HU,CA,1999-10,0.0
HU,CH,1999-10,0.0
HU,CN,1999-10,0.0
HU,CY,1999-10,0.0
HU,CZ,1999-10,0.0
HU,DE,1999-10,0.0
HU,DK,1999-10,0.0
HU,EE,1999-10,0.0
HU,ES,1999-10,0.0
HU,FI,1999-10,0.0
HU,FR,1999-10,0.0
HU,GR,1999-10,0.0
HU,HK,1999-10,0.0
HU,HR,1999-10,0.0
HU,HU,1999-10,0.0
HU,IE,1999-10,0.0
HU,IN,1999-10,0.0
HU,IT,1999-10,0.0
HU,JP,1999-10,0.0
HU,LT,1999-10,0.0
HU,LU,1999-10,0.0
HU,LV,1999-10,0.0
HU,MT,1999-10,0.0
HU,NL,1999-10,0.0
HU,PL,1999-10,0.0
HU,PT,1999-10,0.0
HU,RO,1999-10,0.0
HU,RU,1999-10,0.0
HU,SE,1999-10,0.0
HU,SI,1999-10,0.0
HU,SK,1999-10,0.0
HU,UK,1999-10,0.0
HU,US,1999-10,0.0
HU,AT,1999-11,0.0
HU,BE,1999-11,0.0
HU,BG,1999-11,0.0
HU,BR,1999-11,0.0
HU,CA,1999-11,0.0
HU,CH,1999-11,0.0
HU,CN,1999-11,0.0
HU,CY,1999-11,0.0
HU,CZ,1999-11,0.0
HU,DE,1999-11,0.0
HU,DK,1999-11,0.0
HU,EE,1999-11,0.0
HU,ES,1999-11,0.0
HU,FI,1999-11,0.0
HU,FR,1999-11,0.0
HU,GR,1999-11,0.0
HU,HK,1999-11,0.0
HU,HR,1999-11,0.0
HU,HU,1999-11,0.0
HU,IE,1999-11,0.0
HU,IN,1999-11,0.0
HU,IT,1999-11,0.0
HU,JP,1999-11,0.0
HU,LT,1999-11,0.0
HU,LU,1999-11,0.0
HU,LV,1999-11,0.0
HU,MT,1999-11,0.0
HU,NL,1999-11,0.0
HU,PL,1999-11,0.0
HU,PT,1999-11,0.0
HU,RO,1999-11,0.0
HU,RU,1999-11,0.0
HU,SE,1999-11,0.0
HU,SI,1999-11,0.0
HU,SK,1999-11,0.0
HU,UK,1999-11,0.0
HU,US,1999-11,0.0
HU,AT,1999-12,0.0
HU,BE,1999-12,0.0
HU,BG,1999-12,0.0
HU,BR,1999-12,0.0
HU,CA,1999-12,0.0
HU,CH,1999-12,0.0
HU,CN,1999-12,0.0
HU,CY,1999-12,0.0
HU,CZ,1999-12,0.0
HU,DE,1999-12,0.0
HU,DK,1999-12,0.0
HU,EE,1999-12,0.0
