reporter,partner,TIME_PERIOD,OBS_VALUE
SE,CA,1992-06,0.0
SE,CH,1992-06,0.0
SE,CN,1992-06,0.0
SE,CY,1992-06,0.0
SE,CZ,1992-06,0.0
SE,DE,1992-06,0.0
SE,DK,1992-06,0.0
SE,EE,1992-06,0.0
SE,ES,1992-06,0.0
SE,FI,1992-06,0.0
SE,FR,1992-06,0.0
SE,GR,1992-06,0.0
SE,HK,1992-06,0.0
SE,HR,1992-06,0.0
SE,HU,1992-06,0.0
SE,IE,1992-06,0.0
SE,IN,1992-06,0.0
SE,IT,1992-06,0.0
SE,JP,1992-06,0.0
SE,LT,1992-06,0.0
SE,LU,1992-06,0.0
SE,LV,1992-06,0.0
SE,MT,1992-06,0.0
SE,NL,1992-06,0.0
SE,PL,1992-06,0.0
SE,PT,1992-06,0.0
SE,RO,1992-06,0.0
SE,RU,1992-06,0.0
SE,SI,1992-06,0.0
SE,SK,1992-06,0.0
SE,UK,1992-06,0.0
SE,US,1992-06,0.0
SE,AT,1992-07,0.0
SE,BE,1992-07,0.0
SE,BG,1992-07,0.0
SE,BR,1992-07,0.0
SE,CA,1992-07,0.0
SE,CH,1992-07,0.0
SE,CN,1992-07,0.0
SE,CY,1992-07,0.0
SE,CZ,1992-07,0.0
SE,DE,1992-07,0.0
SE,DK,1992-07,0.0
SE,EE,1992-07,0.0
SE,ES,1992-07,0.0
SE,FI,1992-07,0.0
SE,FR,1992-07,0.0
SE,GR,1992-07,0.0
SE,HK,1992-07,0.0
SE,HR,1992-07,0.0
SE,HU,1992-07,0.0
SE,IE,1992-07,0.0
SE,IN,1992-07,0.0
SE,IT,1992-07,0.0
SE,JP,1992-07,0.0
SE,LT,1992-07,0.0
SE,LU,1992-07,0.0
SE,LV,1992-07,0.0
SE,MT,1992-07,0.0
SE,NL,1992-07,0.0
SE,PL,1992-07,0.0
SE,PT,1992-07,0.0
SE,RO,1992-07,0.0
SE,RU,1992-07,0.0
SE,SI,1992-07,0.0
SE,SK,1992-07,0.0
SE,UK,1992-07,0.0
SE,US,1992-07,0.0
SE,AT,1992-08,0.0
SE,BE,1992-08,0.0
SE,BG,1992-08,0.0
SE,BR,1992-08,0.0
SE,CA,1992-08,0.0
SE,CH,1992-08,0.0
SE,CN,1992-08,0.0
SE,CY,1992-08,0.0
SE,CZ,1992-08,0.0
SE,DE,1992-08,0.0
SE,DK,1992-08,0.0
SE,EE,1992-08,0.0
SE,ES,1992-08,0.0
SE,FI,1992-08,0.0
SE,FR,1992-08,0.0
SE,GR,1992-08,0.0
SE,HK,1992-08,0.0
SE,HR,1992-08,0.0
SE,HU,1992-08,0.0
SE,IE,1992-08,0.0
SE,IN,1992-08,0.0
SE,IT,1992-08,0.0
SE,JP,1992-08,0.0
SE,LT,1992-08,0.0
SE,LU,1992-08,0.0
SE,LV,1992-08,0.0
SE,MT,1992-08,0.0
SE,NL,1992-08,0.0
SE,PL,1992-08,0.0
SE,PT,1992-08,0.0
SE,RO,1992-08,0.0
SE,RU,1992-08,0.0
SE,SI,1992-08,0.0
SE,SK,1992-08,0.0
SE,UK,1992-08,0.0
SE,US,1992-08,0.0
SE,AT,1992-09,0.0
SE,BE,1992-09,0.0
SE,BG,1992-09,0.0
SE,BR,1992-09,0.0
SE,CA,1992-09,0.0
SE,CH,1992-09,0.0
SE,CN,1992-09,0.0
SE,CY,1992-09,0.0
SE,CZ,1992-09,0.0
SE,DE,1992-09,0.0
SE,DK,1992-09,0.0
SE,EE,1992-09,0.0
SE,ES,1992-09,0.0
SE,FI,1992-09,0.0
SE,FR,1992-09,0.0
SE,GR,1992-09,0.0
SE,HK,1992-09,0.0
SE,HR,1992-09,0.0
SE,HU,1992-09,0.0
SE,IE,1992-09,0.0
SE,IN,1992-09,0.0
SE,IT,1992-09,0.0
SE,JP,1992-09,0.0
SE,LT,1992-09,0.0
SE,LU,1992-09,0.0
SE,LV,1992-09,0.0
SE,MT,1992-09,0.0
SE,NL,1992-09,0.0
SE,PL,1992-09,0.0
SE,PT,1992-09,0.0
SE,RO,1992-09,0.0
SE,RU,1992-09,0.0
SE,SI,1992-09,0.0
SE,SK,1992-09,0.0
SE,UK,1992-09,0.0
SE,US,1992-09,0.0
SE,AT,1992-10,0.0
SE,BE,1992-10,0.0
SE,BG,1992-10,0.0
SE,BR,1992-10,0.0
SE,CA,1992-10,0.0
SE,CH,1992-10,0.0
SE,CN,1992-10,0.0
SE,CY,1992-10,0.0
SE,CZ,1992-10,0.0
SE,DE,1992-10,0.0
SE,DK,1992-10,0.0
SE,EE,1992-10,0.0
SE,ES,1992-10,0.0
SE,FI,1992-10,0.0
SE,FR,1992-10,0.0
SE,GR,1992-10,0.0
SE,HK,1992-10,0.0
SE,HR,1992-10,0.0
SE,HU,1992-10,0.0
SE,IE,1992-10,0.0
SE,IN,1992-10,0.0
SE,IT,1992-10,0.0
SE,JP,1992-10,0.0
